Title,Authors,Publication Link,id
Adopting industry 4.0 technologies in citizens’ electronic-engagement considering sustainability development,Aliano Abbasi,https://pureportal.coventry.ac.uk/en/publications/adopting-industry-40-technologies-in-citizens-electronic-engageme,1
"""Is it time to throw out the weighing scales?"" Implicit weight bias among healthcare professionals working in bariatric surgery services and their attitude towards non-weight focused approaches",S Abbott,https://pureportal.coventry.ac.uk/en/publications/is-it-time-to-throw-out-the-weighing-scales-implicit-weight-bias-,2
Variation and outcomes of liver-reducing dietary regimens before bariatric surgery: a national retrospective cohort study,Sally Abbott,https://pureportal.coventry.ac.uk/en/publications/variation-and-outcomes-of-liver-reducing-dietary-regimens-before-,3
Global variations in preoperative practices concerning patients seeking primary bariatric and metabolic surgery (PACT Study): A survey of 634 bariatric healthcare professionals,Sally Abbott,https://pureportal.coventry.ac.uk/en/publications/global-variations-in-preoperative-practices-concerning-patients-s,4
Managing idiopathic intracranial hypertension in pregnancy: practical advice,Sally Abbott,https://pureportal.coventry.ac.uk/en/publications/managing-idiopathic-intracranial-hypertension-in-pregnancy-practi,5
Risk of Harm from Use of Sodium-Glucose Co-Transporter-2 (SGLT-2) Inhibitors in Patients Pre or Post Bariatric Surgery,Sally Abbott,https://pureportal.coventry.ac.uk/en/publications/risk-of-harm-from-use-of-sodium-glucose-co-transporter-2-sglt-2-i,6
Cross-Layer Multipath Multichannel MAC protocol for MANETs,Mohamed Abdelshafy,https://pureportal.coventry.ac.uk/en/publications/cross-layer-multipath-multichannel-mac-protocol-for-manets,7
Performance evaluation of Receiver Directed Transmission protocol with a single transceiver in MANETs,Mohamed Abdelshafy,https://pureportal.coventry.ac.uk/en/publications/performance-evaluation-of-receiver-directed-transmission-protocol,8
Reliable Multipath Multi-channel Route Migration over Multi Link-Failure in Wireless Ad Hoc Networks,Mohamed Abdelshafy,https://pureportal.coventry.ac.uk/en/publications/reliable-multipath-multi-channel-route-migration-over-multi-link-,9
Resisting blackhole attacks on MANETs,Mohamed Abdelshafy,https://pureportal.coventry.ac.uk/en/publications/resisting-blackhole-attacks-on-manets,10
